Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
01-JUL-2013,155,70,,25,67,54,9
02-JUL-2013,145,56,,22,51,47,24
03-JUL-2013,118,60,,24,37,43,12
04-JUL-2013,125,61,,21,47,42,14
05-JUL-2013,136,58,4.0,23,51,45,13
06-JUL-2013,156,57,,27,71,50,7
07-JUL-2013,158,58,,25,68,55,9
08-JUL-2013,166,72,,35,66,53,12
09-JUL-2013,133,56,3.0,24,51,40,15
10-JUL-2013,131,58,,31,43,45,10
11-JUL-2013,128,57,,28,42,40,17
12-JUL-2013,145,59,,21,59,49,14
13-JUL-2013,141,64,4.0,26,63,35,13
14-JUL-2013,146,47,,27,40,70,8
15-JUL-2013,152,70,,30,67,46,9
16-JUL-2013,129,63,,23,59,41,5
17-JUL-2013,133,67,,27,58,37,10
18-JUL-2013,134,58,,33,48,47,5
19-JUL-2013,154,65,,26,53,59,14
20-JUL-2013,147,53,,30,53,51,13
21-JUL-2013,166,51,4.0,26,62,61,13
22-JUL-2013,144,58,3.0,24,51,60,6
23-JUL-2013,134,56,3.0,20,54,44,13
24-JUL-2013,133,68,,27,62,31,12
25-JUL-2013,149,56,,19,62,50,17
26-JUL-2013,126,55,,23,34,48,20
27-JUL-2013,137,49,,29,60,39,9
28-JUL-2013,152,55,,20,64,56,11
29-JUL-2013,156,70,,27,55,58,15
30-JUL-2013,154,62,,30,57,53,12
31-JUL-2013,145,61,,15,48,60,21
01-AUG-2013,131,55,3.0,30,45,41,12
02-AUG-2013,144,75,,40,43,52,8
03-AUG-2013,168,74,,30,63,56,17
04-AUG-2013,161,48,3.0,22,49,68,19
05-AUG-2013,142,54,,18,58,43,22
06-AUG-2013,150,59,,42,54,44,8
07-AUG-2013,146,58,3.0,28,52,49,14
08-AUG-2013,146,63,,31,57,43,13
09-AUG-2013,150,60,,35,51,54,9
10-AUG-2013,144,46,,23,40,57,24
11-AUG-2013,172,57,,27,69,49,26
12-AUG-2013,186,75,,36,68,65,17
13-AUG-2013,160,62,,25,53,57,24
14-AUG-2013,141,74,,31,58,44,6
15-AUG-2013,156,65,,32,51,58,13
16-AUG-2013,133,61,4.0,18,53,54,4
17-AUG-2013,140,55,,21,58,49,10
18-AUG-2013,169,57,3.0,25,60,56,25
19-AUG-2013,174,64,,22,82,61,8
20-AUG-2013,147,56,,22,63,41,20
21-AUG-2013,164,70,3.0,22,60,63,16
22-AUG-2013,147,50,,26,62,51,8
23-AUG-2013,132,59,,27,62,37,6
24-AUG-2013,168,64,,38,65,56,8
25-AUG-2013,155,62,,23,49,56,27
26-AUG-2013,169,77,,39,45,57,26
27-AUG-2013,141,61,3.0,32,51,43,12
28-AUG-2013,164,82,4.0,26,70,51,13
29-AUG-2013,169,69,5.0,18,66,63,17
30-AUG-2013,160,67,,34,70,45,11
31-AUG-2013,157,64,3.0,40,59,42,13
01-SEP-2013,197,63,7.0,28,67,70,25
02-SEP-2013,198,79,,29,78,67,23
03-SEP-2013,153,53,,26,52,59,15
04-SEP-2013,155,65,,26,73,46,9
05-SEP-2013,166,71,,24,62,48,30
06-SEP-2013,148,56,,25,48,64,11
07-SEP-2013,151,56,,23,58,53,16
08-SEP-2013,153,62,,28,56,54,15
09-SEP-2013,167,64,,37,57,64,7
10-SEP-2013,173,74,,28,56,66,21
11-SEP-2013,143,59,3.0,27,49,55,9
12-SEP-2013,148,61,,30,54,50,13
13-SEP-2013,148,71,,29,54,50,13
14-SEP-2013,155,55,,22,46,65,21
15-SEP-2013,172,64,,27,64,55,24
16-SEP-2013,152,68,,21,51,64,14
17-SEP-2013,145,60,3.0,25,57,51,9
18-SEP-2013,153,60,,22,60,64,7
19-SEP-2013,155,67,,27,65,50,11
20-SEP-2013,146,66,3.0,33,49,52,9
21-SEP-2013,147,56,,23,61,46,15
22-SEP-2013,150,63,3.0,27,59,50,11
23-SEP-2013,167,70,,30,64,52,19
24-SEP-2013,157,67,,28,60,60,8
25-SEP-2013,170,66,,24,68,62,15
26-SEP-2013,164,64,,26,68,55,13
27-SEP-2013,133,55,,24,49,48,10
28-SEP-2013,163,62,3.0,30,53,60,17
29-SEP-2013,162,50,,26,61,58,15
30-SEP-2013,178,59,4.0,22,58,57,37
01-OCT-2013,170,73,,29,61,64,14
02-OCT-2013,151,57,3.0,25,38,69,16
03-OCT-2013,154,64,,34,54,57,7
04-OCT-2013,135,61,,18,50,56,10
05-OCT-2013,152,61,4.0,27,55,54,12
06-OCT-2013,173,67,4.0,33,66,60,10
07-OCT-2013,175,78,,38,51,75,11
08-OCT-2013,143,61,3.0,25,63,37,15
09-OCT-2013,135,67,,23,55,42,13
10-OCT-2013,134,51,3.0,29,47,44,11
11-OCT-2013,161,68,,30,61,58,12
12-OCT-2013,150,61,,28,59,48,15
13-OCT-2013,166,55,3.0,30,52,63,18
14-OCT-2013,166,79,,28,58,69,11
15-OCT-2013,150,57,3.0,31,41,56,19
16-OCT-2013,151,50,,28,45,61,15
17-OCT-2013,155,73,,20,70,51,12
18-OCT-2013,138,73,,29,51,52,4
19-OCT-2013,139,45,,27,53,55,4
20-OCT-2013,152,59,4.0,31,67,40,10
21-OCT-2013,167,75,,31,58,65,12
22-OCT-2013,160,73,,35,56,48,20
23-OCT-2013,141,70,,21,57,51,10
24-OCT-2013,155,58,,25,66,43,20
25-OCT-2013,152,59,,34,68,44,6
26-OCT-2013,157,61,4.0,29,64,47,13
27-OCT-2013,165,52,,26,58,73,8
28-OCT-2013,163,68,,33,52,60,16
29-OCT-2013,155,71,,34,67,44,9
30-OCT-2013,166,67,,34,48,67,16
31-OCT-2013,161,77,,34,49,63,14
01-NOV-2013,161,70,,33,44,68,14
02-NOV-2013,147,52,,19,47,63,17
03-NOV-2013,184,55,,25,49,78,32
04-NOV-2013,180,67,5.0,29,58,61,27
05-NOV-2013,169,70,3.0,32,60,52,22
06-NOV-2013,153,63,,22,59,52,18
07-NOV-2013,151,69,,27,58,55,9
08-NOV-2013,178,72,,20,75,68,13
09-NOV-2013,173,58,,29,63,69,10
10-NOV-2013,171,48,,23,50,73,23
11-NOV-2013,171,74,4.0,33,49,73,12
12-NOV-2013,150,71,,27,52,59,11
13-NOV-2013,161,67,,27,57,57,19
14-NOV-2013,169,64,,39,57,51,21
15-NOV-2013,148,69,,25,58,49,16
16-NOV-2013,184,59,,25,73,77,9
17-NOV-2013,187,72,,32,65,69,21
18-NOV-2013,168,71,,28,70,56,13
19-NOV-2013,158,70,,25,64,58,11
20-NOV-2013,160,64,,20,48,60,31
21-NOV-2013,146,64,,19,49,59,18
22-NOV-2013,160,71,3.0,34,54,51,18
23-NOV-2013,166,63,,24,58,65,18
24-NOV-2013,181,65,3.0,32,59,75,12
25-NOV-2013,156,62,,20,63,50,21
26-NOV-2013,159,73,,32,52,57,16
27-NOV-2013,153,68,,23,56,49,25
28-NOV-2013,165,66,,31,61,59,12
29-NOV-2013,151,73,,25,56,54,15
30-NOV-2013,153,49,,27,50,64,11
01-DEC-2013,185,55,,22,61,80,22
02-DEC-2013,157,58,,21,59,53,23
03-DEC-2013,149,67,,30,53,53,12
04-DEC-2013,163,77,,28,64,52,17
05-DEC-2013,162,63,,30,55,71,6
