Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
01-JUL-2013,267,73,,27,75,151,12                                                                                                                                                                                                                                                                                            
02-JUL-2013,241,81,,23,78,133,7                                                                                                                                                                                                                                                                                            
03-JUL-2013,213,67,,29,66,99,17                                                                                                                                                                                                                                                                                                 
04-JUL-2013,227,72,5.0,26,68,117,11                                                                                                                                                                                                                                                                                                  
05-JUL-2013,229,71,,37,80,106,4                                                                                                                                                                                                                                                                                                     
06-JUL-2013,257,66,,30,97,123,6                                                                                                                                                                                                                                                                                                
07-JUL-2013,249,60,,23,98,116,11                                                                                                                                                                                                                                                                                                   
08-JUL-2013,245,81,,36,78,116,13                                                                                                                                                                                                                                                                                           
09-JUL-2013,210,69,,27,71,108,3                                                                                                                                                                                                                                                                                                   
10-JUL-2013,236,74,,28,74,119,15                                                                                                                                                                                                                                                                                               
11-JUL-2013,216,77,3.0,26,84,93,10                                                                                                                                                                                                                                                                                         
12-JUL-2013,209,72,3.0,21,90,81,14                                                                                                                                                                                                                                                                                                 
13-JUL-2013,224,76,,23,99,92,8                                                                                                                                                                                                                                                                                               
14-JUL-2013,246,66,,27,100,109,9                                                                                                                                                                                                                                                                                                     
15-JUL-2013,268,86,5.0,38,107,113,5                                                                                                                                                                                                                                                                                               
16-JUL-2013,213,73,,30,85,88,9                                                                                                                                                                                                                                                                                               
17-JUL-2013,216,77,,30,95,85,5                                                                                                                                                                                                                                                                                                  
18-JUL-2013,213,72,,26,73,109,4                                                                                                                                                                                                                                                                                                 
19-JUL-2013,220,62,,22,88,98,10                                                                                                                                                                                                                                                                                                
20-JUL-2013,249,63,,21,94,122,12                                                                                                                                                                                                                                                                                                
21-JUL-2013,244,63,,27,81,124,11                                                                                                                                                                                                                                                                                             
22-JUL-2013,261,88,,32,92,129,6                                                                                                                                                                                                                                                                                                     
23-JUL-2013,233,76,,36,98,91,8                                                                                                                                                                                                                                                                                                     
24-JUL-2013,228,76,3.0,39,73,105,8                                                                                                                                                                                                                                                                                             
25-JUL-2013,235,73,,31,109,84,11                                                                                                                                                                                                                                                                                                 
26-JUL-2013,203,64,,27,90,82,4                                                                                                                                                                                                                                                                                            
27-JUL-2013,222,70,,32,65,121,3                                                                                                                                                                                                                                                                                                   
28-JUL-2013,253,69,,28,95,122,6                                                                                                                                                                                                                                                                                           
29-JUL-2013,259,79,,40,76,138,4                                                                                                                                                                                                                                                                                              
30-JUL-2013,226,81,,30,82,112,N/A                                                                                                                                                                                                                                                                                               
31-JUL-2013,262,71,,30,79,146,7                                                                                                                                                                                                                                                                                                
01-AUG-2013,246,70,,24,90,125,7                                                                                                                                                                                                                                                                                                   
02-AUG-2013,238,69,,18,101,112,6                                                                                                                                                                                                                                                                                           
03-AUG-2013,269,78,,29,115,124,N/A                                                                                                                                                                                                                                                                                                 
