Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
01-JUL-2013,252,59,,13.0,75,159,4.0
02-JUL-2013,219,47,,14.0,61,139,4.0
03-JUL-2013,186,31,,11.0,53,120,
04-JUL-2013,192,41,,8.0,57,126,
05-JUL-2013,201,42,,14.0,53,130,
06-JUL-2013,206,35,,3.0,47,153,
07-JUL-2013,196,37,,5.0,54,135,
08-JUL-2013,163,36,,9.0,38,113,
09-JUL-2013,162,30,,4.0,35,121,
10-JUL-2013,181,36,5.0,12.0,55,108,
11-JUL-2013,162,25,,5.0,50,105,
12-JUL-2013,190,33,,6.0,62,119,
13-JUL-2013,145,19,,,33,110,
14-JUL-2013,184,35,,3.0,40,136,5.0
15-JUL-2013,202,40,,10.0,56,135,
16-JUL-2013,175,37,,11.0,49,110,5.0
17-JUL-2013,181,25,,5.0,57,118,
18-JUL-2013,195,35,,5.0,43,143,3.0
19-JUL-2013,155,35,,11.0,41,98,4.0
20-JUL-2013,177,29,,7.0,47,118,4.0
21-JUL-2013,204,33,,5.0,57,134,6.0
22-JUL-2013,221,47,,12.0,64,141,3.0
23-JUL-2013,183,40,,15.0,63,101,3.0
24-JUL-2013,178,35,,13.0,58,105,
25-JUL-2013,196,24,,8.0,43,142,3.0
26-JUL-2013,148,31,,5.0,40,103,
27-JUL-2013,183,31,,7.0,46,129,
28-JUL-2013,206,39,,11.0,53,139,
29-JUL-2013,194,47,,9.0,53,130,
30-JUL-2013,168,26,,7.0,49,110,
31-JUL-2013,180,35,,11.0,37,127,3.0
01-AUG-2013,205,37,,8.0,54,140,3.0
02-AUG-2013,185,38,,11.0,45,126,
03-AUG-2013,235,47,,9.0,48,175,
04-AUG-2013,256,40,,14.0,52,184,4.0
05-AUG-2013,258,43,,16.0,63,174,4.0
06-AUG-2013,239,45,,6.0,76,151,4.0
07-AUG-2013,194,33,,18.0,51,122,
08-AUG-2013,210,38,,10.0,65,131,3.0
09-AUG-2013,241,38,,8.0,67,164,
10-AUG-2013,229,29,,4.0,64,157,3.0
11-AUG-2013,233,24,,9.0,50,168,5.0
12-AUG-2013,238,38,,8.0,61,161,6.0
13-AUG-2013,213,46,5.0,13.0,64,129,
14-AUG-2013,227,42,,9.0,70,146,
15-AUG-2013,195,31,,10.0,49,133,3.0
16-AUG-2013,194,35,,11.0,57,122,3.0
17-AUG-2013,224,35,,5.0,58,157,
18-AUG-2013,240,46,,21.0,66,149,
19-AUG-2013,226,50,,9.0,66,148,
20-AUG-2013,225,44,,18.0,64,139,4.0
21-AUG-2013,213,41,,13.0,61,138,
22-AUG-2013,233,26,,11.0,63,152,6.0
23-AUG-2013,204,31,,7.0,51,142,3.0
24-AUG-2013,214,30,,11.0,46,152,3.0
25-AUG-2013,220,43,,8.0,56,154,
26-AUG-2013,238,37,,14.0,60,158,5.0
27-AUG-2013,215,41,,6.0,69,138,
28-AUG-2013,211,37,,14.0,54,142,
29-AUG-2013,206,31,,7.0,55,141,
30-AUG-2013,185,33,,5.0,48,131,
31-AUG-2013,208,28,,6.0,50,151,
01-SEP-2013,247,45,3.0,11.0,74,154,5.0
02-SEP-2013,251,38,,3.0,65,179,3.0
03-SEP-2013,228,31,,6.0,66,152,4.0
04-SEP-2013,215,44,,10.0,49,156,
05-SEP-2013,209,39,3.0,6.0,74,124,
06-SEP-2013,210,39,3.0,7.0,56,143,
07-SEP-2013,194,24,,6.0,38,148,
08-SEP-2013,276,41,,9.0,80,187,
09-SEP-2013,243,45,,9.0,61,173,
10-SEP-2013,238,46,,11.0,54,170,
11-SEP-2013,169,37,,5.0,50,111,
12-SEP-2013,199,26,,3.0,63,133,
13-SEP-2013,185,27,,7.0,41,133,
14-SEP-2013,176,36,,10.0,53,111,
15-SEP-2013,185,30,,9.0,52,122,
16-SEP-2013,204,42,4.0,7.0,58,134,
17-SEP-2013,186,21,,8.0,56,119,3.0
18-SEP-2013,159,32,,6.0,47,102,3.0
