Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
01-JUL-2013,155,10.0,,12,51,81,11.0
02-JUL-2013,145,24.0,,26,45,65,8.0
03-JUL-2013,151,14.0,,10,50,87,3.0
04-JUL-2013,129,15.0,,24,45,55,4.0
05-JUL-2013,122,12.0,,19,46,53,4.0
06-JUL-2013,137,16.0,,14,43,76,3.0
07-JUL-2013,158,13.0,,12,54,84,7.0
08-JUL-2013,134,11.0,,22,41,68,
09-JUL-2013,128,12.0,,21,47,53,7.0
10-JUL-2013,145,4.0,,12,62,63,6.0
11-JUL-2013,126,13.0,,17,48,59,
12-JUL-2013,157,20.0,,18,56,78,5.0
13-JUL-2013,121,11.0,,13,44,63,
14-JUL-2013,129,20.0,,14,49,62,3.0
15-JUL-2013,160,16.0,,26,46,79,7.0
16-JUL-2013,129,11.0,,10,49,68,
17-JUL-2013,127,19.0,,21,46,51,9.0
18-JUL-2013,110,18.0,,17,38,52,3.0
19-JUL-2013,133,17.0,,23,61,43,5.0
20-JUL-2013,132,17.0,,19,47,63,
21-JUL-2013,143,22.0,,17,55,64,6.0
22-JUL-2013,146,12.0,,17,55,66,8.0
23-JUL-2013,141,20.0,,21,58,57,5.0
24-JUL-2013,136,,,12,41,75,8.0
25-JUL-2013,136,15.0,,22,37,73,3.0
26-JUL-2013,137,19.0,,18,46,72,
27-JUL-2013,138,20.0,,11,57,65,4.0
28-JUL-2013,138,17.0,,19,60,53,5.0
29-JUL-2013,163,14.0,,14,66,75,8.0
30-JUL-2013,135,11.0,,26,41,60,8.0
31-JUL-2013,139,20.0,,15,61,55,6.0
01-AUG-2013,133,19.0,,20,46,57,9.0
02-AUG-2013,152,19.0,,16,58,75,
03-AUG-2013,145,18.0,3.0,15,38,86,3.0
04-AUG-2013,179,14.0,,12,62,99,5.0
05-AUG-2013,168,19.0,,18,50,90,8.0
06-AUG-2013,151,23.0,,20,44,78,9.0
07-AUG-2013,154,7.0,,12,57,78,6.0
08-AUG-2013,140,11.0,,20,45,70,4.0
09-AUG-2013,155,7.0,,19,54,80,
10-AUG-2013,159,17.0,,16,48,91,3.0
11-AUG-2013,125,10.0,,16,41,64,4.0
12-AUG-2013,155,20.0,,25,48,78,4.0
13-AUG-2013,161,18.0,,19,61,73,8.0
14-AUG-2013,136,27.0,,15,59,59,
15-AUG-2013,123,14.0,,8,36,76,
16-AUG-2013,136,22.0,,21,53,57,3.0
17-AUG-2013,167,24.0,,20,61,77,8.0
18-AUG-2013,159,12.0,,14,60,80,5.0
19-AUG-2013,178,13.0,,21,50,97,9.0
20-AUG-2013,138,19.0,,19,48,68,
21-AUG-2013,147,7.0,,18,67,59,
22-AUG-2013,142,6.0,,27,53,58,4.0
23-AUG-2013,141,14.0,,25,49,59,7.0
24-AUG-2013,140,16.0,,21,52,65,
25-AUG-2013,155,23.0,,12,49,88,4.0
26-AUG-2013,160,14.0,,24,55,75,6.0
27-AUG-2013,123,23.0,,13,39,66,4.0
28-AUG-2013,160,19.0,,14,58,84,
29-AUG-2013,166,21.0,,20,67,76,
30-AUG-2013,150,18.0,,12,58,80,
31-AUG-2013,142,12.0,,23,51,66,
01-SEP-2013,148,10.0,,28,49,68,3.0
02-SEP-2013,182,20.0,,20,80,74,6.0
