Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
01-JUL-2013,235,99,8.0,33,89,20,25.0
02-JUL-2013,209,97,,41,73,25,17.0
03-JUL-2013,204,84,7.0,40,72,23,28.0
04-JUL-2013,199,106,3.0,37,73,21,14.0
05-JUL-2013,193,96,4.0,40,76,36,22.0
06-JUL-2013,210,87,3.0,29,68,16,8.0
07-JUL-2013,196,78,4.0,21,90,21,5.0
08-JUL-2013,229,93,5.0,46,87,11,31.0
09-JUL-2013,213,77,3.0,33,74,21,22.0
10-JUL-2013,179,75,5.0,41,63,15,23.0
11-JUL-2013,202,94,,34,79,18,17.0
12-JUL-2013,214,118,7.0,34,72,27,15.0
13-JUL-2013,220,99,6.0,31,78,18,10.0
14-JUL-2013,212,79,5.0,38,67,15,7.0
15-JUL-2013,249,118,6.0,47,80,28,19.0
16-JUL-2013,211,73,4.0,37,70,16,18.0
17-JUL-2013,195,81,4.0,34,73,25,17.0
18-JUL-2013,209,88,,37,70,14,20.0
19-JUL-2013,209,88,3.0,30,75,28,17.0
20-JUL-2013,195,70,7.0,31,65,20,7.0
21-JUL-2013,208,84,5.0,27,83,19,3.0
22-JUL-2013,207,91,5.0,51,76,26,19.0
23-JUL-2013,222,93,7.0,41,94,24,18.0
24-JUL-2013,199,96,,25,83,14,20.0
25-JUL-2013,191,96,,27,85,16,23.0
26-JUL-2013,208,114,4.0,30,100,25,12.0
27-JUL-2013,199,70,,39,71,16,6.0
28-JUL-2013,232,77,9.0,18,71,15,6.0
29-JUL-2013,234,104,6.0,46,80,17,21.0
30-JUL-2013,221,113,3.0,30,96,24,10.0
31-JUL-2013,227,107,3.0,51,97,22,18.0
01-AUG-2013,207,96,,45,95,23,18.0
02-AUG-2013,212,105,,37,74,25,12.0
03-AUG-2013,223,86,5.0,34,89,18,11.0
04-AUG-2013,249,97,4.0,31,68,16,10.0
05-AUG-2013,238,116,,41,84,22,19.0
06-AUG-2013,241,101,3.0,36,72,21,14.0
07-AUG-2013,238,95,3.0,44,96,25,16.0
08-AUG-2013,233,100,5.0,43,82,20,20.0
09-AUG-2013,231,109,8.0,51,76,16,18.0
10-AUG-2013,221,83,3.0,27,81,18,11.0
11-AUG-2013,227,83,,32,86,21,8.0
12-AUG-2013,250,90,3.0,26,101,13,15.0
13-AUG-2013,210,76,,40,75,27,7.0
14-AUG-2013,185,68,,38,65,28,14.0
15-AUG-2013,206,89,4.0,38,77,21,18.0
16-AUG-2013,223,110,5.0,40,89,26,11.0
17-AUG-2013,231,92,8.0,30,108,30,7.0
18-AUG-2013,262,108,8.0,55,80,12,7.0
19-AUG-2013,238,96,3.0,38,82,16,24.0
20-AUG-2013,205,74,3.0,31,67,9,16.0
21-AUG-2013,214,97,5.0,33,76,19,14.0
22-AUG-2013,242,100,6.0,41,90,19,20.0
23-AUG-2013,227,83,6.0,38,102,16,19.0
24-AUG-2013,263,106,,26,108,22,6.0
25-AUG-2013,238,98,5.0,41,87,15,7.0
26-AUG-2013,245,94,3.0,47,96,20,24.0
27-AUG-2013,192,95,,28,69,26,18.0
28-AUG-2013,243,93,6.0,37,72,23,17.0
29-AUG-2013,234,93,4.0,34,99,26,20.0
30-AUG-2013,205,86,3.0,38,88,13,21.0
31-AUG-2013,220,92,15.0,29,94,14,4.0
01-SEP-2013,239,103,3.0,44,75,14,3.0
02-SEP-2013,245,107,5.0,44,98,30,20.0
03-SEP-2013,195,91,,28,62,27,20.0
04-SEP-2013,220,91,6.0,44,79,18,29.0
05-SEP-2013,205,78,,32,77,20,16.0
06-SEP-2013,198,92,6.0,25,67,25,11.0
07-SEP-2013,228,74,8.0,29,72,14,7.0
08-SEP-2013,225,87,3.0,34,91,18,7.0
09-SEP-2013,247,108,9.0,39,89,13,25.0
10-SEP-2013,218,82,,48,78,26,15.0
11-SEP-2013,201,84,,31,69,33,8.0
12-SEP-2013,193,79,4.0,28,57,30,24.0
13-SEP-2013,209,82,3.0,31,83,24,15.0
14-SEP-2013,203,69,,21,75,20,6.0
15-SEP-2013,213,84,5.0,30,72,15,7.0
16-SEP-2013,222,104,5.0,29,99,15,27.0
17-SEP-2013,217,86,4.0,37,74,16,16.0
18-SEP-2013,207,93,,36,79,15,13.0
19-SEP-2013,230,107,6.0,48,66,21,12.0
20-SEP-2013,210,105,4.0,37,82,22,20.0
21-SEP-2013,232,99,,47,83,16,9.0
