Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
01-JUL-2013,209,109,,42,108,47,11.0
02-JUL-2013,184,112,,43,73,61,5.0
03-JUL-2013,171,102,,49,69,48,3.0
04-JUL-2013,153,89,6.0,35,57,46,9.0
05-JUL-2013,167,117,7.0,39,70,46,5.0
06-JUL-2013,178,107,,33,85,57,
07-JUL-2013,156,94,4.0,42,72,35,3.0
08-JUL-2013,181,121,3.0,54,97,26,
09-JUL-2013,158,100,3.0,50,74,29,
10-JUL-2013,160,103,4.0,49,68,37,
11-JUL-2013,160,100,,35,81,43,
12-JUL-2013,200,136,3.0,54,98,43,
13-JUL-2013,176,106,4.0,39,75,54,4.0
14-JUL-2013,156,106,3.0,32,84,34,3.0
15-JUL-2013,186,116,3.0,45,80,54,4.0
16-JUL-2013,152,104,3.0,41,73,33,
17-JUL-2013,159,98,3.0,31,81,41,3.0
18-JUL-2013,171,115,3.0,34,98,36,
19-JUL-2013,148,100,5.0,37,70,34,
20-JUL-2013,171,104,,47,73,46,5.0
21-JUL-2013,174,90,,33,78,60,
22-JUL-2013,176,112,5.0,39,82,47,3.0
23-JUL-2013,159,104,5.0,41,69,40,4.0
24-JUL-2013,175,112,4.0,54,67,42,8.0
25-JUL-2013,138,93,3.0,38,63,32,
26-JUL-2013,178,113,,39,95,38,5.0
27-JUL-2013,179,99,5.0,35,88,48,3.0
28-JUL-2013,183,115,,36,93,50,
29-JUL-2013,176,106,,46,62,63,4.0
30-JUL-2013,161,99,,40,82,38,
31-JUL-2013,172,112,,42,92,34,4.0
01-AUG-2013,191,109,4.0,35,101,47,4.0
02-AUG-2013,170,109,,53,80,31,4.0
03-AUG-2013,165,100,3.0,37,77,45,3.0
04-AUG-2013,178,114,3.0,42,75,55,3.0
05-AUG-2013,188,122,,47,80,55,5.0
06-AUG-2013,192,132,5.0,42,92,47,6.0
07-AUG-2013,184,103,3.0,43,92,41,5.0
08-AUG-2013,186,127,4.0,47,84,49,
09-AUG-2013,158,104,,36,81,38,
10-AUG-2013,168,95,,30,80,50,7.0
11-AUG-2013,176,88,,36,73,64,3.0
12-AUG-2013,197,136,4.0,42,115,36,
13-AUG-2013,179,120,5.0,47,92,29,6.0
14-AUG-2013,144,91,,49,56,35,3.0
15-AUG-2013,148,105,5.0,38,79,26,
16-AUG-2013,144,98,3.0,28,65,47,
17-AUG-2013,178,101,,37,93,43,3.0
18-AUG-2013,173,101,3.0,37,93,40,
19-AUG-2013,184,119,,43,99,39,
20-AUG-2013,163,120,,51,78,32,
21-AUG-2013,176,120,4.0,44,80,46,
22-AUG-2013,173,118,5.0,43,83,39,3.0
23-AUG-2013,190,124,,57,90,39,3.0
24-AUG-2013,189,100,4.0,35,84,63,3.0
25-AUG-2013,188,109,4.0,40,89,53,
26-AUG-2013,185,107,3.0,57,76,43,6.0
27-AUG-2013,166,112,4.0,35,87,39,
28-AUG-2013,184,114,4.0,51,90,37,
29-AUG-2013,160,105,,35,77,45,
30-AUG-2013,163,107,5.0,46,72,34,6.0
31-AUG-2013,190,105,4.0,39,76,65,6.0
01-SEP-2013,195,114,,63,80,46,6.0
02-SEP-2013,184,123,6.0,64,72,36,6.0
03-SEP-2013,187,122,5.0,60,76,43,3.0
04-SEP-2013,189,110,4.0,50,98,37,
05-SEP-2013,157,105,3.0,35,78,39,
06-SEP-2013,169,111,3.0,40,78,43,5.0
07-SEP-2013,179,104,,37,76,59,6.0
08-SEP-2013,180,104,4.0,38,88,49,
09-SEP-2013,187,119,4.0,53,90,33,7.0
10-SEP-2013,178,115,7.0,61,65,36,9.0
11-SEP-2013,165,109,3.0,44,80,35,3.0
12-SEP-2013,163,114,3.0,42,89,29,
13-SEP-2013,167,110,3.0,56,69,38,
14-SEP-2013,164,108,3.0,30,89,41,
15-SEP-2013,193,117,9.0,34,91,52,7.0
16-SEP-2013,194,126,7.0,46,91,44,6.0
17-SEP-2013,156,104,5.0,53,54,39,5.0
18-SEP-2013,183,127,,43,94,41,4.0
19-SEP-2013,169,101,,38,78,48,5.0
20-SEP-2013,181,124,3.0,36,115,26,
