Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
01-JUL-2013,52,6.0,,,7.0,20,25.0
02-JUL-2013,43,7.0,,,,25,17.0
03-JUL-2013,55,5.0,,,4.0,23,28.0
04-JUL-2013,42,6.0,,,7.0,21,14.0
05-JUL-2013,64,3.0,,,5.0,36,22.0
06-JUL-2013,28,6.0,,,4.0,16,8.0
07-JUL-2013,30,5.0,,,3.0,21,5.0
08-JUL-2013,47,4.0,,,5.0,11,31.0
09-JUL-2013,48,3.0,,,5.0,21,22.0
10-JUL-2013,43,3.0,,,5.0,15,23.0
11-JUL-2013,38,,,,3.0,18,17.0
12-JUL-2013,47,4.0,,,5.0,27,15.0
13-JUL-2013,31,,,,3.0,18,10.0
14-JUL-2013,29,5.0,,,6.0,15,7.0
15-JUL-2013,49,4.0,,,,28,19.0
16-JUL-2013,41,,,,6.0,16,18.0
17-JUL-2013,47,6.0,,,4.0,25,17.0
18-JUL-2013,38,3.0,,,4.0,14,20.0
19-JUL-2013,52,4.0,,,7.0,28,17.0
20-JUL-2013,34,3.0,,,7.0,20,7.0
21-JUL-2013,24,,,,,19,3.0
22-JUL-2013,51,4.0,,,4.0,26,19.0
23-JUL-2013,45,4.0,,,,24,18.0
24-JUL-2013,40,,,,5.0,14,20.0
25-JUL-2013,43,6.0,,,4.0,16,23.0
26-JUL-2013,42,3.0,,,5.0,25,12.0
27-JUL-2013,26,5.0,,,4.0,16,6.0
28-JUL-2013,24,5.0,,,3.0,15,6.0
29-JUL-2013,42,3.0,,,4.0,17,21.0
30-JUL-2013,40,6.0,,,6.0,24,10.0
31-JUL-2013,45,4.0,,,5.0,22,18.0
01-AUG-2013,47,5.0,,,5.0,23,18.0
02-AUG-2013,44,4.0,,,7.0,25,12.0
03-AUG-2013,37,3.0,,,8.0,18,11.0
04-AUG-2013,27,,,,,16,10.0
05-AUG-2013,44,4.0,,,3.0,22,19.0
06-AUG-2013,42,5.0,,,7.0,21,14.0
07-AUG-2013,45,6.0,,,4.0,25,16.0
08-AUG-2013,44,3.0,,,4.0,20,20.0
09-AUG-2013,38,,,,3.0,16,18.0
10-AUG-2013,34,3.0,,,5.0,18,11.0
11-AUG-2013,34,4.0,,,5.0,21,8.0
12-AUG-2013,31,3.0,,,3.0,13,15.0
13-AUG-2013,42,6.0,,,8.0,27,7.0
14-AUG-2013,44,3.0,,,,28,14.0
