Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
01-JUL-2013,133,17,,29,59,42,
02-JUL-2013,129,25,,25,57,43,4.0
03-JUL-2013,126,7,3.0,24,42,55,
04-JUL-2013,108,19,,14,45,43,6.0
05-JUL-2013,122,24,3.0,15,61,37,6.0
06-JUL-2013,119,28,,18,57,40,3.0
07-JUL-2013,127,21,,16,47,53,9.0
08-JUL-2013,127,19,,18,49,49,10.0
09-JUL-2013,105,15,4.0,29,29,36,7.0
10-JUL-2013,115,23,,17,52,44,
11-JUL-2013,119,28,,32,47,28,12.0
12-JUL-2013,114,28,,21,52,35,5.0
13-JUL-2013,147,18,,21,56,62,6.0
14-JUL-2013,135,25,,21,60,45,8.0
15-JUL-2013,132,25,,21,53,52,5.0
16-JUL-2013,105,18,,25,31,41,7.0
17-JUL-2013,118,30,,30,46,32,10.0
18-JUL-2013,102,22,,10,36,41,13.0
19-JUL-2013,106,15,,16,39,45,4.0
20-JUL-2013,125,32,,19,52,46,7.0
21-JUL-2013,119,26,,22,50,44,
22-JUL-2013,120,22,,27,39,42,12.0
23-JUL-2013,116,24,,19,51,42,4.0
24-JUL-2013,129,22,,30,59,34,5.0
25-JUL-2013,115,26,,12,53,40,8.0
26-JUL-2013,107,24,,16,37,44,8.0
27-JUL-2013,114,27,,20,42,49,3.0
28-JUL-2013,117,23,,36,52,27,
29-JUL-2013,128,22,,24,58,37,8.0
30-JUL-2013,81,13,,9,36,32,4.0
31-JUL-2013,96,27,,16,37,37,6.0
01-AUG-2013,104,32,,24,37,36,6.0
02-AUG-2013,95,26,,23,31,33,7.0
03-AUG-2013,136,17,,24,50,53,8.0
04-AUG-2013,140,17,,35,57,37,10.0
05-AUG-2013,126,35,,23,48,42,12.0
06-AUG-2013,124,33,,28,55,32,7.0
07-AUG-2013,122,12,,21,60,32,8.0
08-AUG-2013,118,20,3.0,21,50,36,8.0
09-AUG-2013,130,33,,27,56,40,5.0
10-AUG-2013,114,16,,19,45,39,11.0
11-AUG-2013,137,18,,15,55,61,6.0
12-AUG-2013,132,19,3.0,26,47,48,8.0
13-AUG-2013,118,10,,22,42,49,4.0
14-AUG-2013,118,22,,29,45,32,11.0
15-AUG-2013,111,18,,20,43,45,
16-AUG-2013,122,15,,17,55,41,9.0
17-AUG-2013,126,20,,24,48,43,11.0
18-AUG-2013,128,15,,22,51,46,9.0
19-AUG-2013,131,25,,23,57,49,
20-AUG-2013,124,15,3.0,24,38,55,4.0
21-AUG-2013,123,17,,26,61,30,6.0
22-AUG-2013,139,32,,20,47,64,6.0
23-AUG-2013,121,23,,18,48,43,11.0
24-AUG-2013,129,14,,22,53,51,
25-AUG-2013,151,11,,34,46,56,15.0
26-AUG-2013,137,22,,22,59,52,
27-AUG-2013,130,10,,19,50,57,3.0
28-AUG-2013,137,23,,25,45,62,5.0
29-AUG-2013,141,29,,28,59,47,6.0
30-AUG-2013,133,24,,27,63,33,8.0
31-AUG-2013,132,11,,27,57,45,
01-SEP-2013,149,8,,28,70,50,
02-SEP-2013,133,31,3.0,31,54,39,6.0
03-SEP-2013,131,16,,19,59,44,7.0
04-SEP-2013,147,16,,30,49,50,17.0
05-SEP-2013,128,22,,15,58,48,6.0
06-SEP-2013,114,13,,19,34,54,7.0
07-SEP-2013,132,13,,26,59,40,7.0
08-SEP-2013,120,13,3.0,23,48,41,5.0
09-SEP-2013,135,16,4.0,26,49,51,5.0
10-SEP-2013,128,13,,19,52,47,9.0
11-SEP-2013,121,15,,24,48,42,5.0
12-SEP-2013,117,16,3.0,23,47,35,9.0
13-SEP-2013,138,18,,18,64,53,
14-SEP-2013,120,21,,18,40,51,11.0
15-SEP-2013,154,28,,34,60,50,9.0
16-SEP-2013,114,29,,23,48,32,10.0
17-SEP-2013,122,23,,21,49,43,7.0
18-SEP-2013,127,23,3.0,28,49,44,3.0
19-SEP-2013,136,30,3.0,24,56,46,7.0
20-SEP-2013,108,12,,23,44,35,5.0
21-SEP-2013,123,21,,21,44,45,11.0
22-SEP-2013,128,18,,18,63,43,3.0
23-SEP-2013,125,19,,32,43,41,8.0
24-SEP-2013,128,12,,27,47,47,6.0
25-SEP-2013,115,39,,26,47,32,9.0
26-SEP-2013,128,36,,17,57,43,10.0
27-SEP-2013,117,26,3.0,18,40,49,7.0
28-SEP-2013,126,19,,21,46,55,3.0
29-SEP-2013,137,37,,29,47,54,7.0
30-SEP-2013,140,25,,25,56,49,10.0
01-OCT-2013,145,29,,33,52,50,8.0
02-OCT-2013,122,31,,17,55,48,
03-OCT-2013,137,37,,17,58,54,7.0
04-OCT-2013,133,32,,21,64,34,14.0
05-OCT-2013,130,42,4.0,20,61,39,6.0
06-OCT-2013,126,31,,28,48,44,6.0
07-OCT-2013,131,32,,16,58,42,13.0
08-OCT-2013,143,25,,17,37,77,11.0
09-OCT-2013,127,30,,16,46,58,6.0
10-OCT-2013,119,24,,28,51,36,4.0
11-OCT-2013,114,30,,14,48,45,7.0
12-OCT-2013,140,29,,20,62,47,10.0
13-OCT-2013,138,33,3.0,30,52,47,6.0
14-OCT-2013,127,31,,29,44,42,10.0
15-OCT-2013,135,16,,23,55,42,14.0
16-OCT-2013,128,34,,24,39,54,10.0
17-OCT-2013,145,25,,22,57,60,6.0
18-OCT-2013,122,27,,20,51,46,4.0
19-OCT-2013,124,31,,27,56,41,
20-OCT-2013,142,32,,20,60,55,6.0
21-OCT-2013,138,21,,26,47,57,6.0
22-OCT-2013,131,18,,25,50,50,5.0
